age,workclass,fnlwgt,education,education-level,marital,occupation,relationship,race,sex,capital-gain,capital,hours,native,income
1,Self-emp-not-inc,0,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,0,0,India,1
0,Self-emp-not-inc,0,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,0,United-States,1
1,Private,0,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,0,United-States,0
1,Private,0,HS-grad,9,Divorced,Craft-repair,Other-relative,White,Female,0,0,0,Vietnam,0
1,Private,0,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,1,United-States,0
0,Private,0,HS-grad,9,Divorced,Other-service,Unmarried,White,Male,0,0,0,United-States,0
1,Private,0,Doctorate,16,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,1,United-States,1
1,Private,1,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,1,United-States,0
0,Private,1,Some-college,10,Never-married,Other-service,Not-in-family,White,Female,0,0,0,United-States,0
0,Private,0,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,1,United-States,0
0,Private,0,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,0,0,1,United-States,0
0,Federal-gov,0,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,0,England,1
1,Local-gov,0,11th,7,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,0,United-States,0
0,Private,0,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,0,United-States,0
0,Private,0,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,1,United-States,0
1,Private,1,12th,8,Never-married,Adm-clerical,Other-relative,Black,Female,0,0,0,United-States,0
0,Private,0,Some-college,10,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,0,United-States,0
0,Private,1,Some-college,10,Never-married,Other-service,Own-child,White,Female,0,1721,0,United-States,0
1,Self-emp-inc,1,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,15024,0,0,United-States,1
0,Private,0,Bachelors,13,Never-married,Sales,Own-child,White,Male,0,0,1,United-States,0
0,Private,1,5th-6th,3,Never-married,Other-service,Other-relative,White,Male,0,0,0,Mexico,0
1,Private,1,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,0,0,0,United-States,0
1,Local-gov,0,Masters,14,Divorced,Prof-specialty,Unmarried,White,Female,0,0,1,United-States,0
0,Private,1,Assoc-acdm,12,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,0,United-States,0
1,Private,1,9th,5,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,0,United-States,0
0,Federal-gov,0,Bachelors,13,Divorced,Prof-specialty,Not-in-family,White,Female,0,0,1,United-States,1
0,?,0,Some-college,10,Never-married,?,Own-child,White,Male,0,0,0,United-States,0
1,Local-gov,1,Masters,14,Married-civ-spouse,Exec-managerial,Husband,Black,Male,0,0,0,United-States,1
